All_Bonds;SP_500
127,1052;1147,06
127,0446;1144,11
127,0579;1140,99
127,4827;1139,09
127,5474;1143,67
127,5474;1144,91
127,8019;1144,94
127,7305;1155,96
127,6459;1149,1
127,2923;1151,04
127,5477;1154,88
127,5477;1156,87
128,755;1147,21
128,8713;1140,58
128,7354;1123,89
128,9337;1106,78
128,9676;1120,57
129,0605;1104,49
128,7312;1110,7
129,0386;1123,75
129,0386;1122,32
129,1429;1109,78
129,2659;1095,4
129,1939;1093,95
129,4218;1091,33
129,5173;1109,19
129,5173;1108,06
128,8295;1122,47
128,9617;1127
129,0888;1126,21
128,7902;1132,17
127,9682;1141,81
127,9682;1150,57
128,0739;1148,16
128,279;1140,53
128,2483;1139,32
128,2481;1139,32
128,2481;1145,2
127,7058;1129,44
127,5381;1128,17
127,6193;1128,84
128,0061;1134,61
128,0169;1135,82
127,7567;1118,15
127,6981;1124,09
127,7571;1139,93
127,6393;1140,6
127,6393;1135,53
127,598;1138,11
127,5862;1122,41
127,6536;1113,89
127,761;1107,31
127,8892;1117,49
127,8215;1119,55
127,8215;1121,53
127,5132;1113,99
126,9233;1098,7
126,9973;1087,12
127,0378;1095,45
126,8569;1097,28
126,7223;1096,44
126,9298;1095,7
127,276;1084,1
127,276;1091,49
126,8629;1088,69
126,9619;1089,19
127,1068;1093,56
126,925;1095,41
127,0817;1113,05
127,0817;1114,94
127,6202;1121,28
127,3609;1120,68
127,0563;1120,68
127,0591;1121,2
127,0591;1124,99
127,0822;1116,64
126,9729;1122,5
127,0382;1140,42
127,2284;1142,18
127,0186;1131,33
126,9906;1136,47
126,8006;1136,47
126,8183;1125,29
127,318;1132,01
127,1624;1133,56
127,1254;1132,05
127,1254;1135,02
127,4704;1130,3
127,3149;1134,41
127,3663;1144,06
127,8645;1140,65
127,7154;1134,43
127,3819;1133,35
127,4277;1136,2
127,4277;1140,84
127,8048;1128,94
127,8048;1125,38
127,8048;1125,38
128,2482;1116,21
128,4573;1118,33
128,4845;1109,11
128,4769;1112,81
128,6051;1114,35
128,2631;1115,14
128,3741;1111,47
128,4031;1106,69
128,8501;1101,4
128,7883;1100,91
128,7256;1108,67
128,2521;1093,88
128,5926;1096,85
128,5915;1086,2
128,5915;1084,07
128,3378;1094,83
128,2675;1095,42
128,4826;1100,43
128,4826;1101,72
128,4826;1106,62
129,0637;1099,69
129,2151;1098,63
129,2151;1080,7
130,002;1063,97
129,958;1065,22
130,0462;1079,04
129,8534;1075,8
130,0221;1063,23
130,1703;1064,8
129,9592;1079,34
130,1069;1081,71
130,1069;1095,17
130,1031;1091,23
130,2324;1098,35
129,82;1095,68
129,8892;1096,19
130,1821;1104,96
130,1821;1105,09
130,2649;1107,77
130,2649;1099,15
130,6182;1104,24
130,5084;1105,91
130,5084;1118,31
129,6813;1113,63
129,8188;1113,63
129,7556;1121,3
129,8857;1116,27
130,2366;1118,38
130,4809;1123,92
130,3098;1125,82
130,4652;1128,33
130,4163;1120,37
130,4674;1123,5
130,7174;1128,55
130,8214;1122,2
130,8524;1129,3
131,0799;1113,56
131,3852;1108,36
131,189;1110,11
131,4292;1103,52
131,3903;1110,06
131,0539;1114,8
131,0539;1114,58
130,9683;1131,5
130,8711;1135,17
131,175;1134,48
131,2403;1142,05
131,0903;1130,65
131,6182;1122,14
131,5397;1124,39
131,8073;1121,84
131,8574;1113,65
132,0518;1103,29
132,0663;1108,2
132,0663;1114,02
131,9743;1103,23
132,3931;1103,66
132,319;1106,49
132,3602;1095,73
132,5793;1094,81
132,5572;1111,09
132,5434;1125,4
132,2113;1127,44
132,3325;1130,2
132,3565;1130,51
132,3565;1130,55
132,2075;1143,2
132,663;1161,67
132,2474;1166,17
132,3029;1164,89
132,5222;1164,08
132,5816;1162,91
132,9501;1173,48
133,2324;1184,17
133,2636;1183,82
133,419;1175,43
133,2718;1181,94
133,2718;1183,55
133,1556;1170,34
133,4007;1177,24
133,5087;1176,94
133,5644;1181,76
133,5644;1181,76
133,8599;1182,65
133,589;1178,57
133,7432;1173,82
133,8112;1191,37
133,3674;1190,33
134,0223;1191,17
134,3462;1190,25
134,5283;1177,08
134,7571;1182,81
135,0091;1189,24
135,076;1188
135,1805;1198,68
135,1482;1203,38
135,5593;1205,72
135,336;1203,21
135,0029;1194,22
135,2155;1194,65
134,8981;1205,46
134,8471;1209,57
135,1467;1210,13
135,1619;1210,13
135,0111;1204,92
134,6124;1213,54
134,3608;1213,45
134,5949;1213,55
134,6103;1211,92
134,9371;1202,08
134,7661;1188,05
134,8256;1183,74
135,1461;1187,89
135,3238;1186,19
135,4337;1190,24
135,3795;1182,99
135,4348;1187,7
135,7532;1177,45
135,8009;1184,52
135,9344;1184,52
135,9916;1195,98
135,9916;1184,63
135,7351;1175,41
135,805;1167,87
136,0326;1163,75
136,0989;1168,41
136,0989;1174,07
135,8362;1174,55
136,123;1171,36
136,2469;1181,27
136,2768;1189,41
136,2642;1193,19
136,1706;1189,89
136,7184;1203,03
136,873;1201,72
136,8794;1202,3
137,1901;1191,99
137,203;1197,01
137,0124;1205,3
136,808;1206,14
136,6769;1210,13
136,4367;1210,34
136,2851;1200,75
136,2851;1201,59
135,367;1201,59
135,4138;1184,16
135,4642;1190,8
135,2049;1200,2
135,3491;1211,37
135,4698;1203,6
135,2387;1210,41
134,9413;1210,08
135,0692;1210,47
135,6072;1222,13
135,8352;1225,31
135,5554;1219,43
135,1978;1207,01
135,0388;1209,25
135,2326;1200,08
135,1179;1206,83
135,5945;1197,75
135,8592;1188,07
135,7544;1190,21
135,7544;1189,65
135,4147;1183,79
135,7707;1171,71
135,4149;1172,53
135,6314;1171,42
135,6314;1171,42
135,6314;1174,28
135,6669;1165,36
135,9233;1181,41
136,3292;1180,59
136,3818;1172,92
136,6404;1176,12
136,6404;1181,39
136,5629;1184,07
136,855;1191,14
136,5957;1181,2
136,7889;1181,21
136,8943;1187,76
137,1008;1173,79
136,9841;1162,05
137,2819;1142,62
137,2819;1145,98
137,7692;1152,78
137,7328;1137,5
137,657;1159,95
137,6641;1152,12
137,8481;1162,1
137,8481;1151,74
138,2075;1156,38
138,2966;1143,22
138,3796;1156,85
138,3796;1162,16
138,5667;1161,17
138,2428;1175,65
138,2428;1172,63
138,0402;1171,35
138,3312;1178,84
138,77;1166,22
139,0772;1171,11
139,0129;1159,36
139,2066;1154,05
139,1467;1165,69
139,2276;1173,8
139,2276;1185,56
139,3286;1191,08
139,081;1189,28
139,4162;1193,86
139,6724;1194,07
139,7714;1190,01
139,7714;1197,63
139,3863;1198,78
139,3884;1198,78
139,9339;1191,5
140,2976;1202,27
140,2976;1204,29
140,3172;1196,02
140,4881;1197,51
140,9656;1197,26
141,3062;1194,67
141,2309;1200,93
141,0929;1198,11
140,815;1200,82
140,6711;1203,91
140,0306;1206,58
139,7791;1210,96
140,1639;1216,96
140,1006;1216,1
140,7558;1213,61
141,4006;1213,88
141,2445;1200,73
141,4022;1191,57
141,6389;1190,69
141,2128;1201,57
141,1627;1199,85
141,1627;1191,33
141,2903;1194,44
141,1149;1194,44
141,1149;1204,99
140,7258;1194,94
141,1057;1197,87
141,0543;1211,86
140,634;1219,44
140,6796;1222,21
140,4819;1223,29
140,2929;1226,5
140,2611;1227,92
140,2611;1221,13
140,2892;1229,35
140,221;1235,2
140,2949;1227,04
140,7715;1233,68
140,9506;1229,03
140,9506;1231,16
140,8888;1236,79
140,833;1243,72
140,7614;1234,18
140,2939;1235,35
140,2939;1244,12
140,2401;1245,05
140,2481;1235,86
140,2481;1226,42
139,9363;1223,13
139,9156;1231,38
140,1251;1229,13
140,1574;1237,81
140,5487;1230,39
140,767;1233,87
141,0924;1219,34
141,0724;1220,24
141,0724;1219,02
141,3741;1219,71
141,4325;1221,73
141,5698;1217,57
141,6136;1209,59
141,783;1212,4
141,783;1205,1
141,7753;1212,28
141,7753;1208,41
142,1898;1220,33
142,583;1221,59
142,583;1218,02
142,701;1218,02
142,4758;1233,39
142,3473;1236,36
142,608;1231,67
142,7636;1241,48
142,0864;1240,56
142,3041;1231,2
142,3712;1227,16
142,2519;1227,73
141,9451;1237,91
142,3632;1231,02
142,3957;1221,35
142,9158;1210,2
142,9315;1214,62
142,6361;1215,29
142,6361;1215,63
142,083;1215,66
142,1283;1216,89
141,9668;1227,68
141,9668;1228,81
141,6689;1226,7
141,7995;1214,47
141,8678;1196,39
141,7507;1191,49
141,7634;1195,9
141,9187;1187,33
141,683;1184,87
141,5042;1177,68
141,0715;1176,84
141,0616;1186,57
141,0106;1190,1
141,0106;1178,14
141,332;1195,76
141,0582;1177,8
141,5457;1179,59
141,5998;1199,38
141,5998;1196,54
140,5498;1191,38
140,2869;1178,9
140,2881;1198,41
140,431;1207,01
140,139;1202,76
139,9673;1214,76
139,8746;1219,94
139,6641;1220,14
139,6129;1222,81
139,965;1218,59
139,4899;1220,65
139,5731;1230,96
139,7064;1234,71
139,642;1233,76
139,7906;1229,01
140,4277;1231,21
140,2631;1242,8
140,2631;1248,27
139,9893;1254,85
139,9046;1261,23
140,0709;1265,61
140,7299;1265,61
140,7299;1268,25
140,5472;1257,46
140,1833;1257,48
140,3877;1249,48
140,735;1264,67
140,8828;1265,08
140,7298;1262,09
141,0669;1263,7
140,8022;1257,37
140,9957;1255,84
140,4735;1259,37
140,7387;1260,43
140,7944;1267,43
141,0329;1272,74
141,0202;1270,94
141,235;1267,32
141,3074;1259,92
141,2441;1259,62
140,9552;1262,8
141,0711;1268,12
141,4387;1268,66
141,4387;1268,66
141,3537;1256,54
141,6401;1258,17
141,4799;1254,42
141,6618;1248,29
141,3951;1248,29
